,F_r,F_t,ThL,N,a,lens_id,z_use,name,f435w-f606w,f435w-f814w,f814w-f606w,rchi2,SNR,lens_Mag_F814W,lens_z
339,-0.5869949472658764,-0.4636578528530347,26.89921850999731,3.0,0.2119141790632861,1.0,0.926,abell2744_1896,1.0839999999999996,1.3521,-0.26810000000000045,0.8573067095810808,61.751259872437494,-21.598030841456296,0.4639
342,-0.08931593843201645,-0.1514125586877768,15.03446647659119,1.0,0.26167509793419025,2.0,2.4009,abell2744_1913,1.2277999999999984,0.795300000000001,0.43249999999999744,0.5151265496276798,65.60589543854158,-20.973128479825363,0.4859
343,-0.17561011592901613,-0.008011677088396438,22.92257866216663,2.0,0.26167509793419025,0.0,2.4009,abell2744_1913,1.2277999999999984,0.795300000000001,0.43249999999999744,0.5151265496276798,65.60589543854158,-22.491027171526177,0.4879
344,-0.1627859179598413,-0.0663614699983585,24.523062475286533,3.0,0.26167509793419025,1.0,2.4009,abell2744_1913,1.2277999999999984,0.795300000000001,0.43249999999999744,0.5151265496276798,65.60589543854158,-21.598030841456296,0.4639
345,-0.2808148357589354,0.2637217496768402,25.667905403021823,1.0,0.2528650321490545,22.0,0.4348,abell2744_1931,2.9238,3.1690000000000005,-0.2452000000000005,0.2440335768780549,21.720385967694007,-19.692721823631533,0.2303
346,0.35344890672719875,0.6290295940469744,7.343510033328642,1.0,0.4197739262660634,2.0,0.4945,abell2744_1963,1.6277000000000008,1.6631999999999998,-0.035499999999998984,1.0133208819335615,92.3471842746114,-20.973128479825363,0.4859
347,0.7119257329386601,0.11732906985613303,19.00851050281902,2.0,0.4197739262660634,1.0,0.4945,abell2744_1963,1.6277000000000008,1.6631999999999998,-0.035499999999998984,1.0133208819335615,92.3471842746114,-21.598030841456296,0.4639
348,0.6971034234955429,-0.18614826564958184,19.8236243170697,3.0,0.4197739262660634,0.0,0.4945,abell2744_1963,1.6277000000000008,1.6631999999999998,-0.035499999999998984,1.0133208819335615,92.3471842746114,-22.491027171526177,0.4879
349,-0.16635969678694704,-0.1016563062201973,7.879321073255982,1.0,0.42573908587301684,1.0,0.3244,abell2744_1966,3.1907,3.6441000000000017,-0.453400000000002,0.3621106468081048,25.520279793978034,-21.598030841456296,0.4639
350,0.1881341687532134,-0.051137929728499135,9.009161341731929,2.0,0.42573908587301684,2.0,0.3244,abell2744_1966,3.1907,3.6441000000000017,-0.453400000000002,0.3621106468081048,25.520279793978034,-20.973128479825363,0.4859
